Date,AAPL,CVX,JNJ,MSFT,NVDA,PFE,UNH,XOM
2019-12-12,137310400,6462000,5012400,24612100,404348000,13414469,2996200,17068500
2019-12-13,133587600,4863400,4257200,23845400,454704000,16678496,3599300,12274500
2019-12-16,128186000,5619300,5353100,24144200,320976000,24187824,4663600,15208700
2019-12-17,114158400,6755500,10722400,25425600,321196000,29038016,4409100,14450700
2019-12-18,116028400,7496700,7849200,24129200,343548000,27339390,3621600,13652300
2019-12-19,98369200,6220300,9414700,24958900,445360000,22022276,2905900,13273200
2019-12-20,275978000,12171100,14532800,53477500,603044000,58199772,6608300,35092000
2019-12-23,98572000,5875000,6558700,17718200,355060000,17454345,2098900,14172500
2019-12-24,48478800,1640100,4238900,8989200,138864000,5187683,714000,3979400
2019-12-26,93121200,3648600,3019300,14520600,182852000,9384078,1050600,8840200
2019-12-27,146266000,4138300,3432700,18412800,254644000,10117662,1547100,10516100
2019-12-30,144114400,4580200,2923300,16348400,258056000,11554264,1511700,12689400
2019-12-31,100805600,4215700,4435000,18369400,231004000,15175703,2224200,13151800
2020-01-02,135480400,5205000,5777000,22622100,237536000,16514072,2543400,12456400
2020-01-03,146322800,6360900,5752400,21116200,205384000,14922848,2711400,17386900
2020-01-06,118387200,9953000,7731300,20813700,262636000,15771951,3079100,20081900
2020-01-07,108872000,7856900,7382900,21634100,314856000,20108107,2492900,17387700
2020-01-08,132079200,7295900,6605800,27746500,277108000,16403507,3379200,15137700
2020-01-09,170108400,7345300,6112700,21385000,255112000,21971895,2838200,14811800
2020-01-10,140644800,6393800,5042600,20725900,316296000,21557357,2477900,11995600
2020-01-13,121532000,6846700,4593200,21626500,319840000,15392405,6994900,9953900
2020-01-14,161954400,7189100,7037500,23477400,359088000,20919160,6056300,16261000
2020-01-15,121923600,5808800,4960300,21417900,263104000,23925800,6081300,11390300
2020-01-16,108829200,7022000,6476000,23865400,284192000,16216422,3710300,13340300
2020-01-17,137816400,7885900,9083600,34371700,253792000,23083970,4632200,18144100
2020-01-21,110843200,8470300,9543900,29517200,217916000,23115696,4962800,17982600
2020-01-22,101832400,5589900,10305300,24138800,239240000,18097812,3117600,17033100
2020-01-23,104472000,8007800,8671900,19680800,244516000,27148510,3169600,19605900
2020-01-24,146537600,6920000,9051900,24918100,373512000,34143698,3678500,18238600
2020-01-27,161940000,7609800,7587100,32078100,470536000,31964026,4399400,21231000
2020-01-28,162234000,5771900,7336600,24899900,310976000,70202408,4341000,19664700
2020-01-29,216229200,4772800,6288600,34754500,258848000,34165726,3963800,14202800
2020-01-30,126743200,8382700,6470600,51597500,290504000,32316589,4211800,18544700
2020-01-31,199588400,13699600,8651700,36142700,370420000,33894005,5532600,34282900
2020-02-03,173788400,8785500,5765200,30107000,255564000,20875735,5646800,27389300
2020-02-04,136616400,9909000,6541400,36433300,271544000,31150865,4290200,31922100
2020-02-05,118826800,6914100,5979900,39186300,208220000,29443490,5761000,32099200
2020-02-06,105425600,6274000,6201200,27751400,218284000,21047748,3044000,16055400
2020-02-07,117684000,4830100,5700300,33529100,189752000,21903596,3425900,15112500
2020-02-10,109348800,6011800,4835600,35844300,529608000,19998385,3147400,20934500
2020-02-11,94323200,6072700,3715300,53159900,638556000,16027335,2992200,14908700
2020-02-12,113730400,5725700,5166800,47062900,374644000,22944315,6701900,17862100
2020-02-13,94747600,5991900,5480200,35295800,528016000,22099745,3565500,16949400
2020-02-14,80113600,5148700,5716300,23149500,1041924000,21006747,2485600,10855300
2020-02-18,152531200,4975800,7230700,27792200,620164000,17988513,3241700,18948500
2020-02-19,93984000,5887500,6115200,29997500,694332000,17750941,3021100,12804900
2020-02-20,100566000,4466600,7464700,36862400,810052000,42953135,2885500,14817200
2020-02-21,129554000,6443900,7776800,48572600,768180000,32425256,2987100,20315700
2020-02-24,222195200,9539800,10588900,68311100,856916000,37969296,8790600,32096600
2020-02-25,230673600,12871900,10529000,68073300,1055496000,41878898,8171200,36414500
2020-02-26,198054800,11990400,10093800,56206100,747732000,47920005,6806600,29801000
2020-02-27,320605600,15783700,12566700,93174900,906416000,55444827,7604300,48141300
2020-02-28,426510000,20835100,19820300,97012700,1133252000,66057447,9961000,62446700
2020-03-02,341397200,15050800,11508200,71030800,890744000,42034469,8866300,38127600
2020-03-03,319475600,16525500,13662500,71677000,652792000,46174475,9188100,50580700
2020-03-04,219178400,14753000,10560500,49814400,597408000,38712155,14533000,24079600
2020-03-05,187572800,12814400,11339200,47817300,540328000,35096303,5908400,40788200
2020-03-06,226176800,16861900,12239100,72821100,515412000,40931036,5361900,55640500
2020-03-09,286744800,30595500,13848600,70419300,614160000,43183856,8070700,72896300
2020-03-10,285290000,22642900,12698100,65354400,580648000,40548329,7366000,60445900
2020-03-11,255598800,18412800,17763400,56371600,499964000,65350213,7744600,51986100
2020-03-12,418474000,25768200,21539200,93226400,816540000,62731445,10496600,65725300
2020-03-13,370732000,23497500,20084200,92727400,634836000,60553038,9308400,79891500
2020-03-16,322423600,17535300,18877900,87905900,726972000,50995050,10303500,48924700
2020-03-17,324056000,22684200,18911800,81059800,833632000,54220606,9642200,41204400
2020-03-18,300233600,24947300,17521100,81593200,874268000,43884976,12917500,54036400
2020-03-19,271857200,29871000,18482300,85922700,765512000,59820929,8065200,49412400
2020-03-20,401693200,26960400,19785100,84866200,804636000,52488989,9364100,76534600
2020-03-23,336752800,23764000,20815200,78975200,643876000,52853041,10654500,56952500
2020-03-24,287531200,29198800,17604800,82516700,1101644000,44466784,8894400,61835600
2020-03-25,303602000,22560100,13986100,75638200,793432000,44601275,10014000,56607700
2020-03-26,252087200,24129100,15066800,64568100,696108000,43269967,7517600,46722000
2020-03-27,204216800,20411500,12133200,57042300,638828000,38290344,4879500,51558600
2020-03-30,167976400,18486800,21754000,63420300,602252000,29943508,5329000,45835000
2020-03-31,197002000,18514200,15746100,77927200,949960000,29466151,5450000,41491600
2020-04-01,176218400,14362000,12606100,57969900,656912000,26709625,4548800,36045900
2020-04-02,165934000,23220600,11594500,49630700,675764000,27186876,4636800,62000200
2020-04-03,129880000,14905400,10071200,41243300,663212000,32837370,4650300,48425700
2020-04-06,201820400,17334900,14994400,67111700,727884000,40503217,6365900,41301900
2020-04-07,202887200,16394800,11567100,62769000,784520000,24226295,4984100,48921800
2020-04-08,168895200,12284800,10758200,48318200,542444000,25523980,6390200,33355600
2020-04-09,161834800,17023800,11125400,51385100,525564000,30648107,4923300,60107300
2020-04-13,131022800,13854700,8153200,41905300,398408000,18270141,2964900,29651900
2020-04-14,194994800,14797600,13838000,52874300,530948000,21845309,4778900,30769000
2020-04-15,131154400,13982300,11962300,40940800,366148000,21312196,7841800,33125000
2020-04-16,157125200,12291900,12181700,50479600,745620000,20657451,7738900,30934000
2020-04-17,215250000,16130100,10920000,52765600,539120000,24404843,5857500,40829100
2020-04-20,130015200,15749000,12226200,36669600,449388000,22530620,4072600,39260800
2020-04-21,180991600,19620600,9951100,56203700,735160000,23975233,3977500,44381600
2020-04-22,116862400,10320700,11515600,34620200,483356000,20182624,3663300,27074200
2020-04-23,124814400,14226500,10665000,32790800,424160000,20185365,4420500,35271000
2020-04-24,126161200,9175500,8653400,34277600,352328000,17353794,3265000,28653800
2020-04-27,117087600,12037100,8924000,33194400,479388000,23394057,3706200,28274400
2020-04-28,112004800,10645200,8558700,34392700,442904000,35666728,3862900,26545100
2020-04-29,137280800,12342800,9285200,51286600,379160000,26518535,4258400,29502500
2020-04-30,183064000,12222000,14829600,53875900,375916000,29450973,7631700,37076300
2020-05-01,240616800,13250100,7309000,39370500,342096000,22679867,3526100,35399300
2020-05-04,133568000,11192400,7198400,30372900,317556000,19893512,2894200,27465600
2020-05-05,147751200,13608700,6562300,36839200,368896000,24123952,2501300,29276200
2020-05-06,142333600,11145900,6191600,32139300,323464000,24047432,2579200,22659000
2020-05-07,115215200,9749600,5570500,28316000,373732000,33546080,3162300,22160300
2020-05-08,133838400,8585900,4712100,30877800,339216000,19893618,3200000,19977400
2020-05-11,145946400,7101000,5887500,30892700,469060000,25620421,3490700,22258000
2020-05-12,162301200,8749100,7039200,32038200,493060000,19335314,4214300,25439100
2020-05-13,200622400,12215100,6970500,44711500,625852000,24596882,5474100,30827900
2020-05-14,158929200,10678200,6871400,41873900,602312000,22362507,5704600,24856500
2020-05-15,166348400,10113000,10340400,46610400,987660000,25460002,12182800,22445600
2020-05-18,135178400,12304300,7388400,35264500,774460000,22635177,4015100,32026100
2020-05-19,101729600,7749300,6107300,26799100,717320000,19476234,3059400,21771600
2020-05-20,111504800,9160000,5713400,31261300,587536000,17504200,3200600,19352400
2020-05-21,102688800,8830900,6487300,29119500,761068000,17652181,3604900,19130700
2020-05-22,81803200,8563100,6140900,20826900,1038764000,15781226,2922800,15406400
2020-05-26,125522000,9430000,7072300,36073600,770780000,23260094,4567800,20356500
2020-05-27,112945200,7822600,7950000,39517100,1175892000,25904158,5618900,20788300
